paperTitle	citedPaperTitle
Multiplicative anomaly and finite charge density	On the relevance of the multiplicative anomaly
Multiscale N=2 SUSY field theories, integrable systems and their	Spin generalization of the Calogero-Moser system and the Matrix KP
Multiscale N=2 SUSY field theories, integrable systems and their	Integrability and Seiberg-Witten Exact Solution
Multiscale N=2 SUSY field theories, integrable systems and their	The Vacuum Structure of N=2 SuperQCD with Classical Gauge Groups
Multiscale N=2 SUSY field theories, integrable systems and their	N=2 Supersymmetric QCD and Integrable Spin Chains: Rational Case N_f <
Multiscale N=2 SUSY field theories, integrable systems and their	Peierls model and vacuum structure in N=2 supersymmetric gauge theories
Multiscale N=2 SUSY field theories, integrable systems and their	F-theory and Orientifolds
Multiscale N=2 SUSY field theories, integrable systems and their	Type IIB Superstrings, BPS Monopoles, And Three-Dimensional Gauge
Multiscale N=2 SUSY field theories, integrable systems and their	Geometry of N=1 Dualities in Four Dimensions
Multiscale N=2 SUSY field theories, integrable systems and their	Branes, Superpotentials and Superconformal Fixed Points
Multiscale N=2 SUSY field theories, integrable systems and their	WDVV Equations in Seiberg-Witten theory and associative algebras
Multiscale N=2 SUSY field theories, integrable systems and their	Instanton sums and five-dimensional gauge theories
Multiscale N=2 SUSY field theories, integrable systems and their	Mirror symmetry and Exact Solution of 4D N=2 Gauge Theories I
Multiscale N=2 SUSY field theories, integrable systems and their	From M-theory to F-theory, with Branes
Multisolitons in a Two-dimensional Skyrme Model	NULL
Must a Hamiltonian be Hermitian?	Solution of Schwinger-Dyson Equations for {cal PT}-Symmetric Quantum
N = 1 Field Theory Duality from M-theory	TASI Lectures on D-Branes
N = 1 Field Theory Duality from M-theory	Geometric Engineering of N=1 Quantum Field Theories
N = 1 Field Theory Duality from M-theory	Type IIB Superstrings, BPS Monopoles, And Three-Dimensional Gauge
N = 1 Field Theory Duality from M-theory	N=1 Dualities of SO and USp Gauge Theories and T-Duality of String
N = 1 Field Theory Duality from M-theory	Geometry of N=1 Dualities in Four Dimensions
N = 1 Field Theory Duality from M-theory	Orientifolds, Branes, and Duality of 4D Gauge Theories
N = 1 Field Theory Duality from M-theory	Branes, Superpotentials and Superconformal Fixed Points
N = 2 Supersymmetric Quantum Black Holes in Five Dimensional Heterotic	Exact Results for N=2 Compactifications of Heterotic Strings
N = 2 Supersymmetric Quantum Black Holes in Five Dimensional Heterotic	Compactification of D=11 supergravity on spaces of exceptional holonomy
N = 2 Supersymmetric Quantum Black Holes in Five Dimensional Heterotic	Universality of Sypersymmetric Attractors
N = 2 Supersymmetric Quantum Black Holes in Five Dimensional Heterotic	Phase Transitions In M-Theory And F-Theory
N = 2 Supersymmetric Quantum Black Holes in Five Dimensional Heterotic	Enhancement of Supersymmetry Near 5d Black Hole Horizon
N = 2 Supersymmetric Quantum Black Holes in Five Dimensional Heterotic	Entropy of N=2 black holes and their M-brane description
N- and 1-time Classical Description of N-body Relativistic Kinematics	NULL
N=(0,4) Quiver SCFT_2 and Supergravity on AdS_3 times S^2	Harmonic superpositions of M-branes
N=(0,4) Quiver SCFT_2 and Supergravity on AdS_3 times S^2	Proposals on nonperturbative superstring interactions
N=(0,4) Quiver SCFT_2 and Supergravity on AdS_3 times S^2	Matrix String Theory
N=(0,4) Quiver SCFT_2 and Supergravity on AdS_3 times S^2	The Large N Limit of Superconformal Field Theories and Supergravity
N=(0,4) Quiver SCFT_2 and Supergravity on AdS_3 times S^2	Anti De Sitter Space And Holography
N=(0,4) Quiver SCFT_2 and Supergravity on AdS_3 times S^2	On Conformal Theories in Four Dimensions
N=(0,4) Quiver SCFT_2 and Supergravity on AdS_3 times S^2	AdS3 Black Holes and a Stringy Exclusion Principle
N=(0,4) Quiver SCFT_2 and Supergravity on AdS_3 times S^2	Comments on N=2 AdS Orbifolds
N=(0,4) Quiver SCFT_2 and Supergravity on AdS_3 times S^2	AdS_3 Gravity and Conformal Field Theories
N=(0,4) Quiver SCFT_2 and Supergravity on AdS_3 times S^2	Instanton Strings and HyperKaehler Geometry
N=(0,4) Quiver SCFT_2 and Supergravity on AdS_3 times S^2	Hilbert Space of Space-time SCFT in AdS_3 Supersting and T^{4kp}/S_{kp}
N=(0,4) Quiver SCFT_2 and Supergravity on AdS_3 times S^2	Large N Elliptic Genus and AdS/CFT Correspondence
N=(4,4) 2D Supersymmetric Gauge Theory and Brane Configuration	Exact Results for N=2 Compactifications of Heterotic Strings
N=(4,4) 2D Supersymmetric Gauge Theory and Brane Configuration	Type IIB Superstrings, BPS Monopoles, And Three-Dimensional Gauge
N=(4,4) 2D Supersymmetric Gauge Theory and Brane Configuration	Geometry of N=1 Dualities in Four Dimensions
N=(4,4) 2D Supersymmetric Gauge Theory and Brane Configuration	Orientifolds, Branes, and Duality of 4D Gauge Theories
N=(4,4) 2D Supersymmetric Gauge Theory and Brane Configuration	Non-Abelian Conifold Transitions and N=4 Dualities in Three Dimensions
N=(4,4) 2D Supersymmetric Gauge Theory and Brane Configuration	Mirror symmetry and Exact Solution of 4D N=2 Gauge Theories I
N=1 and N=2 supersymmetric non-abelian Born-Infeld actions from	Electric-Magnetic Duality Rotations in Non-Linear Electrodynamics
N=1 and N=2 supersymmetric non-abelian Born-Infeld actions from	Bound States Of Strings And p-Branes
N=1 and N=2 supersymmetric non-abelian Born-Infeld actions from	Born-Infeld action, supersymmetry and string theory
N=1 Dualities of SO and USp Gauge Theories and T-Duality of String	Strong/Weak Coupling Duality from the Dual String
N=1 Dualities of SO and USp Gauge Theories and T-Duality of String	Small Instantons in String Theory
N=1 Dualities of SO and USp Gauge Theories and T-Duality of String	Non-Perturbative Superpotentials In String Theory
N=1 Dualities of SO and USp Gauge Theories and T-Duality of String	F-theory and Orientifolds
N=1 Dualities of SO and USp Gauge Theories and T-Duality of String	Mirror Symmetry is T-Duality
N=1 Dualities of SO and USp Gauge Theories and T-Duality of String	TASI Lectures on D-Branes
N=1 Dualities of SO and USp Gauge Theories and T-Duality of String	Geometric Engineering of N=1 Quantum Field Theories
N=1 Finite Unified Theories - Predictions and Dualities	The Large N Limit of Superconformal Field Theories and Supergravity
N=1 Heterotic string vacua from mirror symmetry	Exact Results for N=2 Compactifications of Heterotic Strings
N=1 Heterotic string vacua from mirror symmetry	Dual String Pairs With N=1 And N=2 Supersymmetry In Four Dimensions
N=1 Heterotic string vacua from mirror symmetry	Nonperturbative Results on the Point Particle Limit of N=2 Heterotic
N=1 Heterotic string vacua from mirror symmetry	Small Instantons in String Theory
N=1 Heterotic string vacua from mirror symmetry	Small E_8 Instantons and Tensionless Non-critical Strings
N=1 Heterotic string vacua from mirror symmetry	Non-Perturbative Superpotentials In String Theory
N=1 Heterotic string vacua from mirror symmetry	On Four-Dimensional Compactifications of F-Theory
N=1 Heterotic string vacua from mirror symmetry	Consistency Conditions for Branes at Orbifold Singularities
N=1 Heterotic string vacua from mirror symmetry	Non-Abelian Conifold Transitions and N=4 Dualities in Three Dimensions
N=1 Heterotic string vacua from mirror symmetry	Mirror Symmetry via Deformation of Bundles on K3 Surfaces
N=1 Heterotic string vacua from mirror symmetry	Mirror symmetry and Exact Solution of 4D N=2 Gauge Theories I
N=1 Heterotic string vacua from mirror symmetry	Toric geometry and F-theory/Heterotic Duality in Four Dimensions
N=1 No-Scale Supergravity from IIB Orientifolds	Fluxes in Heterotic and Type II String Compactifications
N=1 No-Scale Supergravity from IIB Orientifolds	Duality and Spontaneously Broken Supergravity in Flat Backgrounds
N=1 Supersymmetric Vacua in Heterotic M-Theory	Duality of Type II 7-branes and 8-branes
N=1 Supersymmetric Vacua in Heterotic M-Theory	Strong Coupling Expansion Of Calabi-Yau Compactification
N=1 Supersymmetric Vacua in Heterotic M-Theory	On Four-Dimensional Compactifications of F-Theory
N=1 Supersymmetric Vacua in Heterotic M-Theory	String-Unification, Universal One-Loop Corrections and Strongly Coupled
N=1 Supersymmetric Vacua in Heterotic M-Theory	Loop Corrections to the Universal Hypermultiplet
N=1 Supersymmetric Vacua in Heterotic M-Theory	U-duality Covariant M-theory Cosmology
N=1 Supersymmetric Vacua in Heterotic M-Theory	M-Phenomenology
N=1 Supersymmetric Vacua in Heterotic M-Theory	Supersymmetry Breakdown at a Hidden Wall
N=1 Supersymmetric Vacua in Heterotic M-Theory	The Universe as a Domain Wall
N=1 Theories, T-duality, and AdS/CFT correspondence	New N=1 Superconformal Field Theories in Four Dimensions from D-brane
N=1 Theories, T-duality, and AdS/CFT correspondence	Type IIB Superstrings, BPS Monopoles, And Three-Dimensional Gauge
N=1 Theories, T-duality, and AdS/CFT correspondence	The Large N Limit of Superconformal Field Theories and Supergravity
N=1 Theories, T-duality, and AdS/CFT correspondence	Branes and Six Dimensional Supersymmetric Theories
N=1 Theories, T-duality, and AdS/CFT correspondence	Anti De Sitter Space And Holography
N=1 Theories, T-duality, and AdS/CFT correspondence	Superconformal Field Theory on Threebranes at a Calabi-Yau Singularity
N=1 Theories, T-duality, and AdS/CFT correspondence	New N=2 superconformal field theories from M/F theory orbifolds
N=1 Theories, T-duality, and AdS/CFT correspondence	Generalized Conifolds and 4d N=1 SCFT
N=1,2 4D Superconformal Field Theories and Supergravity in AdS_5	Anti De Sitter Space And Holography
N=1,2 4D Superconformal Field Theories and Supergravity in AdS_5	A Supergravity Dual of a (1,0) Field Theory in Six Dimensions
N=1,2 4D Superconformal Field Theories and Supergravity in AdS_5	On Conformal Theories in Four Dimensions
N=1,2 Super-NLS Hierarchies as Super-KP Coset Reductions	Multi-field representations of KP hierarchies and multi-matrix models
N=1,2 Super-NLS Hierarchies as Super-KP Coset Reductions	Construction of KP Hierarchies in Terms of Finite Number of Fields and
N=1,2 Super-NLS Hierarchies as Super-KP Coset Reductions	The (N,M)-th KdV hierarchy and the associated W algebra
N=1,2 Super-NLS Hierarchies as Super-KP Coset Reductions	Generalized NLS Hierarchies from Rational W Algebras
N=2 Affine Superalgebras and Hamiltonian Reduction in N=2 Superspace	Extended N=2 Superconformal Structure of Gravity and W-Gravity Coupled
N=2 Affine Superalgebras and Hamiltonian Reduction in N=2 Superspace	The Full Structure of Quantum N=2 Super-W_3^{(2)} Algebra
N=2 boundary supersymmetry in integrable models and perturbed boundary	The spectrum of boundary states in sine-Gordon model with integrable
N=2 boundary supersymmetry in integrable models and perturbed boundary	Coupling integrable field theories to mechanical systems at the boundary
N=2 boundary supersymmetry in integrable models and perturbed boundary	Sine-Gordon quantum field theory on the half-line with quantum boundary
N=2 boundary supersymmetry in integrable models and perturbed boundary	Exact solution of a massless scalar field with a relevant boundary
N=2 boundary supersymmetry in integrable models and perturbed boundary	Expectation values of boundary fields in the boundary sine-Gordon model
N=2 boundary supersymmetry in integrable models and perturbed boundary	On duality and reflection factors for the sinh-Gordon model
N=2 boundary supersymmetry in integrable models and perturbed boundary	Boundary breathers in the sinh-Gordon model
N=2 Electric-magnetic duality in a chiral background	Kodaira-Spencer Theory of Gravity and Exact Results for Quantum String
N=2 Electric-magnetic duality in a chiral background	Exact Results for N=2 Compactifications of Heterotic Strings
N=2 Electric-magnetic duality in a chiral background	Aspects of Duality in N=2 String Vacua
N=2 Electric-magnetic duality in a chiral background	N=2 Type II- Heterotic duality and Higher derivative F-terms
N=2 four-dimensional gauge theories from fractional branes	Wilson Loops in N=4 Supersymmetric Yang--Mills Theory
N=2 four-dimensional gauge theories from fractional branes	Warped AdS near-horizon geometry of completely localized intersections
N=2 four-dimensional gauge theories from fractional branes	D-Brane Primer
N=2 four-dimensional gauge theories from fractional branes	Supersymmetry and F-theory realization of the deformed conifold with
N=2 four-dimensional gauge theories from fractional branes	Orbifold boundary states from Cardys condition
N=2 four-dimensional gauge theories from fractional branes	The Geometry of Fractional Branes
N=2 four-dimensional gauge theories from fractional branes	More exact predictions of SUSYM for string theory
N=2 four-dimensional gauge theories from fractional branes	N=2 Gauge Theories from Wrapped Five-branes
N=2 four-dimensional gauge theories from fractional branes	Aspects of Type IIB Theory on ALE Spaces
N=2 four-dimensional gauge theories from fractional branes	The Large N Limit of Superconformal Field Theories and Supergravity
N=2 four-dimensional gauge theories from fractional branes	Fractional Branes and Wrapped Branes
N=2 four-dimensional gauge theories from fractional branes	D branes in string theory, II
N=2 Gauge Theories from Wrapped Five-branes	Warped AdS near-horizon geometry of completely localized intersections
N=2 gauged WZW models and the elliptic genus	NULL
N=2 Heterotic Stringy Cosmic Strings	Massless Black Holes and Conifolds in String Theory
N=2 Heterotic Stringy Cosmic Strings	Exact Results for N=2 Compactifications of Heterotic Strings
N=2 Heterotic Stringy Cosmic Strings	Aspects of Duality in N=2 String Vacua
N=2 Heterotic Stringy Cosmic Strings	N=2 Type II- Heterotic duality and Higher derivative F-terms
N=2 Heterotic Stringy Cosmic Strings	Instantons and seven-branes in type IIB superstring theory
N=2 Heterotic Stringy Cosmic Strings	Duality Between the Webs of Heterotic and Type II Vacua
N=2 Heterotic Stringy Cosmic Strings	F-theory and Orientifolds
N=2 Quantum String Scattering	On the Calculation of Effective Actions by String Methods
N=2 Quantum String Scattering	N=4 Topological Strings
N=2 Quantum String Scattering	One-Loop n-Point Helicity Amplitudes in (Self-Dual) Gravity
N=2 String Loops and Spectral Flow	Twisting the N=2 String
N=2 String Loops and Spectral Flow	N=4 Topological Strings
N=2 Super-Weyl Symmetry, Super-Liouville Theory and Super-Riemannian	NULL
N=2 Superconformal Field Theories in 4 Dimensions and A-D-E	Integrability and Seiberg-Witten Exact Solution
N=2 Superconformal Field Theories in 4 Dimensions and A-D-E	On the Quantum Moduli Space of Vacua of N=2 Supersymmetric SU(N_c)
N=2 Superconformal Field Theories in 4 Dimensions and A-D-E	The Coulomb Phase of N=2 Supersymmetric QCD
N=2 Superconformal Field Theories in 4 Dimensions and A-D-E	Exact Results for N=2 Compactifications of Heterotic Strings
N=2 Superconformal Field Theories in 4 Dimensions and A-D-E	The Vacuum Structure of N=2 SuperQCD with Classical Gauge Groups
N=2 Superconformal Field Theories in 4 Dimensions and A-D-E	Exceptional Equivalences in N=2 Supersymmetric Yang-Mills Theory
N=2 Superconformal Field Theories in 4 Dimensions and A-D-E	The Moduli Space of the N=2 Supersymmetric G_{2} Yang-Mills Theory
N=2 Superconformal Field Theory with ADE Global Symmetry on a D3-brane	F-theory and Orientifolds
N=2 Superconformal Field Theory with ADE Global Symmetry on a D3-brane	BPS States on a Three Brane Probe
N=2 Superconformal Field Theory with ADE Global Symmetry on a D3-brane	The BPS Spectra and Superconformal Points in Massive N=2 Supersymmetric
N=2 Superconformal Field Theory with ADE Global Symmetry on a D3-brane	String Junctions for Arbitrary Lie Algebra Representations
N=2 Superconformal Field Theory with ADE Global Symmetry on a D3-brane	Constraints on the BPS Spectrum of N = 2, D = 4 Theories with A-D-E
N=2 supersymmetric gauge theories with massive hypermultiplets and the	Integrability and Seiberg-Witten Exact Solution
N=2 supersymmetric gauge theories with massive hypermultiplets and the	On the Quantum Moduli Space of Vacua of N=2 Supersymmetric SU(N_c)
N=2 supersymmetric gauge theories with massive hypermultiplets and the	The Coulomb Phase of N=2 Supersymmetric QCD
N=2 supersymmetric gauge theories with massive hypermultiplets and the	The Vacuum Structure of N=2 SuperQCD with Classical Gauge Groups
N=2 supersymmetric gauge theories with massive hypermultiplets and the	The Effective Prepotential of N=2 Supersymmetric SO(N_c) and Sp(N_c)
N=2 supersymmetric gauge theories with massive hypermultiplets and the	Multiscale N=2 SUSY field theories, integrable systems and their
N=2 supersymmetric gauge theories with massive hypermultiplets and the	The Donaldson-Witten function for gauge groups of rank larger than one
N=2 supersymmetric gauge theories with massive hypermultiplets and the	Whitham Deformations of Seiberg-Witten Curves for Classical Gauge Groups
N=2 supersymmetric gauge theories with massive hypermultiplets and the	On the Yang-Mills Functional over Open Four-Manifolds
N=2 Supersymmetric Gauged O(3) Sigma Model	Topological and Nontopological Solitons in a Gauged O(3) Sigma Model
N=2 Supersymmetric QCD and Integrable Spin Chains: Rational Case N_f <	Dynamical r-matrices for the Elliptic Calogero-Moser Model
N=2 Supersymmetric QCD and Integrable Spin Chains: Rational Case N_f <	Integrability and Seiberg-Witten Exact Solution
N=2 Supersymmetric QCD and Integrable Spin Chains: Rational Case N_f <	On the Quantum Moduli Space of Vacua of N=2 Supersymmetric SU(N_c)
N=2 Supersymmetric QCD and Integrable Spin Chains: Rational Case N_f <	The Coulomb Phase of N=2 Supersymmetric QCD
N=2 Supersymmetric QCD and Integrable Spin Chains: Rational Case N_f <	Exact Results for N=2 Compactifications of Heterotic Strings
N=2 Supersymmetric QCD and Integrable Spin Chains: Rational Case N_f <	Nonperturbative Results on the Point Particle Limit of N=2 Heterotic
N=2 Supersymmetric QCD and Integrable Spin Chains: Rational Case N_f <	The Vacuum Structure of N=2 SuperQCD with Classical Gauge Groups
N=2 Supersymmetric QCD and Integrable Spin Chains: Rational Case N_f <	Geometric construction of the classical R-matrices for the elliptic
N=2 Supersymmetric QCD and Integrable Spin Chains: Rational Case N_f <	Exact solutions to quantum field theories and integrable equations
N=2 Topological Yang-Mills Theory on Compact K"{a}hler Surfaces	NULL
N=2 Type II- Heterotic duality and Higher derivative F-terms	Moduli Corrections to Gauge and Gravitational Couplings in four
N=2 Type II- Heterotic duality and Higher derivative F-terms	Kodaira-Spencer Theory of Gravity and Exact Results for Quantum String
N=2 Type II- Heterotic duality and Higher derivative F-terms	Massless Black Holes and Conifolds in String Theory
N=2 Type II- Heterotic duality and Higher derivative F-terms	Exact Results for N=2 Compactifications of Heterotic Strings
N=2 Type II- Heterotic duality and Higher derivative F-terms	Aspects of Duality in N=2 String Vacua
N=2-Supersymmetric Dynamics of a Spin-1/2 Particle in an Extended	Nonlinear supersymmetry on the plane in magnetic field and quasi-exactly
N=2-Supersymmetric Dynamics of a Spin-1/2 Particle in an Extended	N=2-Supersymmetric Dynamics of a Spin-1/2 Particle in an Extended
N=4 Super Yang-Mills Low-Energy Effective Action at Three and Four Loops	Interactions of type IIB D-branes from D-instanton matrix model
N=4 Super Yang-Mills Low-Energy Effective Action at Three and Four Loops	Nonholomorphic N=2 terms in N=4 SYM: 1-Loop Calculation in N=2
N=4 Super Yang-Mills Low-Energy Effective Action at Three and Four Loops	Covariant Harmonic Supergraphity for N = 2 Super Yang--Mills Theories
N=4 Super Yang-Mills Low-Energy Effective Action at Three and Four Loops	Non-Renormalization Theorems for Operators with Arbitrary Numbers of
N=4 Topological Strings	A twistor formulation of the heterotic D=10 superstring with manifest
N=4 Topological Strings	Calculation of Green-Schwarz Superstring Amplitudes Using the N=2
N=4 Topological Strings	Ising Model and N=2 Supersymmetric Theories
N=4 Topological Strings	Extended N=2 Superconformal Structure of Gravity and W-Gravity Coupled
N=4 Topological Strings	Kodaira-Spencer Theory of Gravity and Exact Results for Quantum String
N=4 Topological Strings	On the Uniqueness of String Theory
N=4 Topological Strings	On the Universal String Theroy
N=4 Topological Strings	A Hierarchy of Superstrings
N=4 Topological Strings	Supersymmetric Yang-Mills Theory On A Four-Manifold
N=8 SCFT and M Theory on AdS_4 x RP^7	The Large N Limit of Superconformal Field Theories and Supergravity
N=8 SCFT and M Theory on AdS_4 x RP^7	Anti De Sitter Space And Holography
N=8 SCFT and M Theory on AdS_4 x RP^7	A Supergravity Dual of a (1,0) Field Theory in Six Dimensions
N=8 SCFT and M Theory on AdS_4 x RP^7	On Conformal Theories in Four Dimensions
N=8 SCFT and M Theory on AdS_4 x RP^7	Spectrum of Chiral Operators in Strongly Coupled Gauge Theories
N=8 SCFT and M Theory on AdS_4 x RP^7	Evaluation Of Glueball Masses From Supergravity
N=8 SCFT and M Theory on AdS_4 x RP^7	Comments on N=2 AdS Orbifolds
N=8 SCFT and M Theory on AdS_4 x RP^7	Superconformal Field Theory on Threebranes at a Calabi-Yau Singularity
N=8 SCFT and M Theory on AdS_4 x RP^7	Baryons and Domain Walls in an N = 1 Superconformal Gauge Theory
N=8 SCFT and M Theory on AdS_4 x RP^7	3-Sasakian Manifolds
N=8 Supergravity in Central Charge Superspace	Supergravity couplings: a geometric formulation
Nahm Transform For Periodic Monopoles And N=2 Super Yang-Mills Theory	Three Dimensional Gauge Theories and Monopoles
Nahm Transform For Periodic Monopoles And N=2 Super Yang-Mills Theory	Type IIB Superstrings, BPS Monopoles, And Three-Dimensional Gauge
Naked and Thunderbolt Singularities in Black Hole Evaporation	NULL
Naked singularities and the Wilson loop	Looking for event horizons using UV/IR relations
Naked singularities and the Wilson loop	The Large N Limit of Superconformal Field Theories and Supergravity
Naked singularities and the Wilson loop	Wilson-Polyakov Loop at Finite Temperature in Large N Gauge Theory and
Naked singularities in dilatonic domain wall space-times	Non-Extreme and Ultra-Extreme Domain Walls and Their Global Space-Times
Nambu-Goldstone Mechanism in Real-Time Thermal Field Theory	NULL
Nambu-Goto string with the Gauss-Bonnet term and point-like masses at	Strings and QCD?
Nambu-Jona-Lasinio Model in Curved Spacetime with Magnetic Field	NULL
Near Anti-de Sitter Geometry and Corrections to the Large N Wilson Loop	The Large N Limit of Superconformal Field Theories and Supergravity
Near Anti-de Sitter Geometry and Corrections to the Large N Wilson Loop	Anti De Sitter Space And Holography
Near Anti-de Sitter Geometry and Corrections to the Large N Wilson Loop	A Supergravity Dual of a (1,0) Field Theory in Six Dimensions
Near Anti-de Sitter Geometry and Corrections to the Large N Wilson Loop	On Conformal Theories in Four Dimensions
Near Anti-de Sitter Geometry and Corrections to the Large N Wilson Loop	Possible Resolution of Black Hole Singularities from Large N Gauge
Near Anti-de Sitter Geometry and Corrections to the Large N Wilson Loop	D-Instantons and asymptotic geometries
Near Anti-de Sitter Geometry and Corrections to the Large N Wilson Loop	Wilson-Polyakov Loop at Finite Temperature in Large N Gauge Theory and
Near-Extremal Black Hole Evaporation in Asymptotically Flat Spacetime	Quantum evolution of near-extremal Reissner-Nordstrom black holes
Near-Extremal Black Hole Evaporation in Asymptotically Flat Spacetime	Naked and Thunderbolt Singularities in Black Hole Evaporation
Near-Extremal Black Hole Evaporation in Asymptotically Flat Spacetime	Black Hole Remnants and the Information Puzzle
Near-Extremal Black Hole Evaporation in Asymptotically Flat Spacetime	Information Consumption by Reissner-Nordstrom Black Holes
Near-Extremal Black Hole Evaporation in Asymptotically Flat Spacetime	Nonsingular Black Hole Evaporation and ``Stable Remnants
Near-Horizon Supergravity Superspace	The Large N Limit of Superconformal Field Theories and Supergravity
Near-Horizon Supergravity Superspace	Anti De Sitter Space And Holography
Near-Horizon Supergravity Superspace	Super M-brane actions in adS_4 x S^7 and adS_7 x S^4
Nearby CFTs in the operator formalism: The role of a connection	Target Space Duality as a Symmetry of String Field Theory
Neutrino Masses in Superstring Derived Standard--like Models	NULL
New ``Gauge Theories In Six Dimensions	D-Strings on D-Manifolds
New ``Gauge Theories In Six Dimensions	Geometric Singularities and Enhanced Gauge Symmetries
New ``Gauge Theories In Six Dimensions	The Matrix Formulation of Type IIB Five-Branes
New AdS_3 Branes and Boundary States	Some remarks on D-branes in AdS_3
New AdS_3 Branes and Boundary States	Operator product expansion and factorization in the H_3^+-WZNW model
New AdS_3 Branes and Boundary States	Non-commutative World-volume Geometries: Branes on SU(2) and Fuzzy
New applications of the chiral anomaly	Anomaly Cancellation in 2+1 dimensions in the presence of a domainwall
New approach to summation of field-theoretical series in models with	Five-loop renormalization group functions of {O}(n)-symmetric
New approach to the non-perturbative physics	On the Calculation of the Vacuum Energy Density in Sigma Models
New Approximations to the Fradkin representation for Greens functions	The sigma-Model and Non-commutative Geometry
New Black Hole, String and Membrane Solutions of the Four-Dimensional	Duality Symmetries of 4D Heterotic Strings
New BPS Solitons in 2+1 Dimensional Noncommutative CP^1 Model	Noncommutative Solitons
New BPS Solitons in 2+1 Dimensional Noncommutative CP^1 Model	The CP(n) Model on Noncommutative Plane
New BPS Solitons in 2+1 Dimensional Noncommutative CP^1 Model	ADHM/Nahm Construction of Localized Solitons in Noncommutative Gauge
New BPS Solitons in 2+1 Dimensional Noncommutative CP^1 Model	Low-Energy Dynamics of Noncommutative CP^1 Solitons in 2+1 Dimensions
New Complete Non-compact Spin(7) Manifolds	Spin(7) holonomy manifold and Superconnection
New Complete Non-compact Spin(7) Manifolds	A Bestiary of Higher Dimensional Taub-NUT-AdS Spacetimes
New Complete Non-compact Spin(7) Manifolds	Gravity Duals of Fractional Branes in Various Dimensions
New Complete Non-compact Spin(7) Manifolds	Hyper-Kahler Calabi Metrics, L^2 Harmonic Forms, Resolved M2-branes, and
New Complete Non-compact Spin(7) Manifolds	D-Branes, Holonomy and M-Theory
New Couplings of Six-Dimensional Supergravity	Small Instantons in String Theory
New Couplings of Six-Dimensional Supergravity	M-Theory on (K3 X S^1)/Z_2
New Critical Matrix Models and Generalized Universality	Random matrix theory and QCD_3
New Critical Matrix Models and Generalized Universality	On Finite-Volume Gauge Theory Partition Functions
New Developments in the Continuous Renormalization Group	On Truncations of the Exact Renormalization Group
New Developments in the Continuous Renormalization Group	Non-Compact Pure Gauge QED in 3D is Free
New Developments in the Continuous Renormalization Group	Tests for C-theorems in 4D
New Developments in the Continuous Renormalization Group	Field Theory Entropy, the H-theorem and the Renormalization Group
New Developments in the Continuous Renormalization Group	Relative entropy in Field Theory, the H theorem and the renormalization
New dual relations between quantum field theory and string regimes in	QFT, String Temperature and the String Phase of De Sitter Space-time
New equations for vacuum correlators in gauge theories	NULL
New families of flows between two-dimensional conformal field theories	Thermodynamic Bethe Ansatz for G_k x G_l / G_{k+l} Coset Models
New families of flows between two-dimensional conformal field theories	Dynkin TBAs
New families of flows between two-dimensional conformal field theories	Generalising the staircase models
New families of flows between two-dimensional conformal field theories	Massless Flows I: the sine-Gordon and O(n) models
New families of flows between two-dimensional conformal field theories	Integrable perturbations of CFT with complex parameter: the M_{3/5}
New Gauge Supergravity in Seven and Eleven Dimensions	NULL
New instantons in the double-well potential	Instantons, Euclidean supersymmetry and Wick rotations
New maverick coset theories	The resolution of field identification fixed points in diagonal coset
New maverick coset theories	A Unified Conformal Field Theory Description of Paired Quantum Hall
New Methods for Two-Dimensional Schr"odinger Equation: SUSY-separation	Higher-Derivative Supersymmetry and the Witten Index
New Methods for Two-Dimensional Schr"odinger Equation: SUSY-separation	Polynomial SUSY in Quantum Mechanics and Second Derivative Darboux
New Methods for Two-Dimensional Schr"odinger Equation: SUSY-separation	Hidden nonlinear supersymmetries in pure parabosonic systems
New Moduli Spaces from String Background Independence Consistency	Target Space Duality as a Symmetry of String Field Theory
New Moduli Spaces from String Background Independence Consistency	Composite Operators in QCD
New Moduli Spaces from String Background Independence Consistency	Nearby CFTs in the operator formalism: The role of a connection
New Moduli Spaces from String Background Independence Consistency	Finite Deformations of Conformal Field Theories Using Analytically
New N=1 Superconformal Field Theories in Four Dimensions from D-brane	Phases of N=1 supersymmetric gauge theories in four dimensions
New N=1 Superconformal Field Theories in Four Dimensions from D-brane	F-theory and Orientifolds
New N=1 Superconformal Field Theories in Four Dimensions from D-brane	Geometric Singularities and Enhanced Gauge Symmetries
New N=1 Superconformal Field Theories in Four Dimensions from D-brane	N=2 Superconformal Field Theories in 4 Dimensions and A-D-E
New N=2 superconformal field theories from M/F theory orbifolds	F-theory and Orientifolds
New N=2 superconformal field theories from M/F theory orbifolds	Geometric Singularities and Enhanced Gauge Symmetries
New N=2 superconformal field theories from M/F theory orbifolds	Tensors from K3 Orientifolds
New N=2 superconformal field theories from M/F theory orbifolds	Consistency Conditions for Branes at Orbifold Singularities
New N=2 superconformal field theories from M/F theory orbifolds	The Large N Limit of Superconformal Field Theories and Supergravity
New N=2 superconformal field theories from M/F theory orbifolds	Branes and Six Dimensional Supersymmetric Theories
New N=2 superconformal field theories from M/F theory orbifolds	Anti De Sitter Space And Holography
New N=2 superconformal field theories from M/F theory orbifolds	Comments on N=2 AdS Orbifolds
New N=2 superconformal field theories from M/F theory orbifolds	D-particles on T^4/Z_n orbifolds and their resolutions
